sample_id,status,elapsed_sec,annual_file,n_years,notes,mean_GPP,mean_NEP,mean_ER,mean_NPP
88,success,5.4,sample_0088/LHP_20250919_annual.txt,10,,0.9890000000000001,0.053700000000000005,0.9349999999999999,0.7219
89,success,3.3,sample_0089/LHP_20250919_annual.txt,10,,0.9890000000000001,0.053700000000000005,0.9352,0.7219
90,success,5.6,sample_0090/LHP_20250919_annual.txt,10,,1.1075,0.060399999999999995,1.0474,0.8206999999999999
91,success,5.6,sample_0091/LHP_20250919_annual.txt,10,,1.1075,0.060399999999999995,1.0474,0.8206999999999999
92,success,5.6,sample_0092/LHP_20250919_annual.txt,10,,1.1094,0.060399999999999995,1.0493000000000001,0.8219999999999998
93,success,5.6,sample_0093/LHP_20250919_annual.txt,10,,1.1094,0.1412,0.968,0.8219999999999998
94,success,5.4,sample_0094/LHP_20250919_annual.txt,10,,1.1094,0.1412,0.968,0.8219999999999998
95,success,3.3,sample_0095/LHP_20250919_annual.txt,10,,1.1094,0.1432,0.9663999999999999,0.8219999999999998
96,success,5.9,sample_0096/LHP_20250919_annual.txt,10,,1.1074,0.14020000000000002,0.9669000000000001,0.8074999999999999
97,success,5.5,sample_0097/LHP_20250919_annual.txt,10,,1.1088,0.1416,0.9672000000000001,0.8084
98,success,5.8,sample_0098/LHP_20250919_annual.txt,10,,1.1068000000000002,0.1392,0.9676,0.7992
99,success,5.6,sample_0099/LHP_20250919_annual.txt,10,,1.1068000000000002,0.137,0.9699,0.7864000000000001
100,success,5.5,sample_0100/LHP_20250919_annual.txt,10,,1.17,0.143,1.0271,0.8221
101,success,3.2,sample_0101/LHP_20250919_annual.txt,10,,1.17,0.14279999999999998,1.0271,0.8221
102,success,5.3,sample_0102/LHP_20250919_annual.txt,10,,1.17,0.14279999999999998,1.0271,0.8221
103,success,5.6,sample_0103/LHP_20250919_annual.txt,10,,1.1702,0.1453,1.0249,0.8362
104,success,4.9,sample_0104/LHP_20250919_annual.txt,10,,1.1702,0.1263,1.0438,0.8362
105,success,5.0,sample_0105/LHP_20250919_annual.txt,10,,1.1815,0.1276,1.0538,0.8459999999999999
106,success,4.8,sample_0106/LHP_20250919_annual.txt,10,,1.1815,0.12769999999999998,1.0538,0.8459999999999999
107,success,3.0,sample_0107/LHP_20250919_annual.txt,10,,1.1815,0.12769999999999998,1.0538,0.8459999999999999
108,success,5.3,sample_0108/LHP_20250919_annual.txt,10,,1.1602999999999999,0.1096,1.0506,0.6950999999999999
109,success,5.1,sample_0109/LHP_20250919_annual.txt,10,,1.1602999999999999,0.11400000000000002,1.0459999999999998,0.7304999999999999
