name,mu,mu_star,sigma,mu_star_conf
c3_f_sz_r,0.0,0.0,0.0,0.0
c3_lf0,0.007666666666666131,0.010222222222222145,0.015402921800749802,0.011972871880867793
c3_lc0,0.734722222222222,0.734722222222222,0.8579417931132449,0.7829377064541373
c3_lr0,0.00033333333333483863,0.00033333333333483863,0.00033333333333551707,0.0002699841284691683
c3_root_spt_a,0.0,0.0,0.0,0.0
c3_root_spt_b,0.0,0.0,0.0,0.0
c4_kmci,0.0,0.0,0.0,0.0
c4_cmpcd0,0.0,0.0,0.0,0.0
soil_albedo0,0.0,0.0,0.0,0.0
soil_sr_lf,0.0,0.0,0.0,0.0
soil_sr_lc,0.0,0.0,0.0,0.0
soil_sr_lr,0.0,0.0,0.0,0.0
soil_sr_ha,0.0,0.0,0.0,0.0
soil_sr_hi,0.0,0.0,0.0,0.0
soil_sr_hp,0.0,0.0,0.0,0.0
soil_kml,0.0,0.0,0.0,0.0
soil_kmh,0.0,0.0,0.0,0.0
soil_kmsl,0.0,0.0,0.0,0.0
soil_kmsh,0.0,0.0,0.0,0.0
soil_f_co2_lf,0.0,0.0,0.0,0.0
soil_f_co2_lc,0.0,0.0,0.0,0.0
soil_f_co2_lr,0.0,0.0,0.0,0.0
soil_f_hm_a,0.0,0.0,0.0,0.0
soil_f_hm_i,0.0,0.0,0.0,0.0
soil_f_hm_p,0.0,0.0,0.0,0.0
over_ke_d,0.0,0.0,0.0,0.0
over_ke_n,0.0,0.0,0.0,0.0
over_scttr,0.0,0.0,0.0,0.0
over_spect,0.0,0.0,0.0,0.0
over_rfl_d,0.0,0.0,0.0,0.0
over_photocap_n0,0.0,0.0,0.0,0.0
over_nc_ct,0.0,0.0,0.0,0.0
over_acen_et,0.0,0.0,0.0,0.0
over_hc_et,0.0,0.0,0.0,0.0
over_str_et,0.0,0.0,0.0,0.0
over_kc0,0.0,0.0,0.0,0.0
over_ko0,0.0,0.0,0.0,0.0
over_acen_kc,0.0,0.0,0.0,0.0
over_acen_ko,0.0,0.0,0.0,0.0
over_acen_vc,0.0,0.0,0.0,0.0
over_cv_j,0.0,0.0,0.0,0.0
over_cv_p,0.0,0.0,0.0,0.0
over_jvr,0.0,0.0,0.0,0.0
over_gss_b0,0.0,0.0,0.0,0.0
over_gss_b1,0.0,0.0,0.0,0.0
over_gss_b2,0.0,0.0,0.0,0.0
under_nc_ct,0.0,0.0,0.0,0.0
under_gss_b0,0.0,0.0,0.0,0.0
under_gss_b1,0.0,0.0,0.0,0.0
under_gss_b2,0.0,0.0,0.0,0.0
