metric,name,mi
mean_NEP,over_jvr,1.0214892287183408
mean_NEP,c3_rmr_s,1.0194269451163034
mean_NEP,soil_f_co2_lf,1.0148503330105452
mean_NEP,c3_cmpcd0,1.0145911979792637
mean_NEP,over_gss_b2,1.0085797259148515
mean_NEP,c3_tmax,1.0062161881463143
mean_NEP,tree_ctmp_lfdsp,1.0056622236932835
mean_NEP,soil_kmsl,1.0053994603326049
mean_NEP,soil_kmsh,1.0042583908816491
mean_NEP,tree_rmc_h,1.0013730114881356
mean_NEP,soil_kmh,0.9962457128407822
mean_NEP,soil_albedo0,0.9936484197499429
mean_NEP,soil_f_hm_a,0.9925388165665845
mean_NEP,c3_rmf0,0.9920138040322852
mean_NEP,tree_pmax,0.9829080649992747
mean_NEP,over_ke_n,0.9796682573830664
mean_NEP,tree_alloc_abg,0.9781458462748625
mean_NEP,soil_sr_ha,0.9774791294626204
mean_NEP,soil_sr_hp,0.9725291942695395
mean_NEP,c3_kmci,0.9722745375712245
mean_NEP,tree_rmr_h,0.9716046718219202
mean_NEP,tree_rmc_s,0.9699093135393675
mean_NEP,c3_lf0,0.9633560462052506
mean_NEP,c3_rgc,0.9557957170150106
mean_NEP,c3_root_spt_a,0.9529721516799536
mean_NEP,c3_lc0,0.9477991140292976
mean_NEP,c3_ek0,0.9444552958486072
mean_NEP,soil_sr_hi,0.943498207343425
mean_NEP,tree_rgc,0.9399521166314306
mean_NEP,over_gss_b0,0.9392733796821628
mean_NEP,c3_qtc0,0.9358340379294807
mean_NEP,tree_f_sz_r,0.9341897943828141
mean_NEP,over_nc_ct,0.9272437916030956
mean_NEP,tree_albedo,0.9138890190109763
mean_NEP,c4_cmpcd0,0.9047328993159753
mean_NEP,c3_qtf0,0.8939076458391964
mean_NEP,tree_gs_b0,0.8931793896100126
mean_NEP,tree_ek0,0.8807125637845681
mean_NEP,c3_albedo,0.8762271338667866
mean_NEP,c3_gs_b1,0.8709782469722505
mean_NEP,c3_km_nstl,0.8690467082639266
mean_NEP,tree_tmax,0.8570654183095439
mean_NEP,over_hc_et,0.8563520539757279
mean_NEP,over_cv_j,0.8424035176106879
mean_NEP,over_acen_kc,0.8289253547051649
